job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform,city,province,salary_visible,salary_min,salary_max,title_length,requirements_length
C++ Software Engineer,Surya Narayana Indonesia,"Kab. Buleleng,Bali",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | C++,UrgentKemarin,glints,Kab. Buleleng,Bali,0,0,0,21,8
Software Engineer,PT. Meteor Inovasi Digital,"Kab. Tangerang,Banten",Rp 7 jt-9 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+5 | Remote/Dari rumah,13 jam yang lalu,glints,Kab. Tangerang,Banten,1,7000000,9000000,17,22
Software Engineer,PT. MUAT LOGISTIK INDONESIA,"Jakarta Barat,DKI Jakarta",Rp 5 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | Software Development,10 jam yang lalu,glints,Jakarta Barat,DKI Jakarta,1,5000000,6000000,17,25
Software Engineer,Aldmic COOPN Digital,"Jakarta Barat,DKI Jakarta",Rp 7 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),JavaScript | +12,12 jam yang lalu,glints,Jakarta Barat,DKI Jakarta,1,7000000,10000000,17,16
Software Engineer,BSG Group,"Tangerang Selatan,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | React.js,3 hari yang lalu,glints,Tangerang Selatan,Banten,0,0,0,17,13
Software Engineer,PT Golden Tekstil Indonesia,"Kab. Kendal,Jawa Tengah","Rp 3,2 jt-3,7 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),SQL | +12,8 hari yang lalu,glints,Kab. Kendal,Jawa Tengah,1,3200000,3700000,17,9
Software Engineer,PT Inter Sistem Asia,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Laravel,14 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,0,0,0,17,12
Software Engineer,PT Prima Vista Solusi,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,Not Specified,Minimal Sarjana (S1),Teamwork | +1 | Problem Solving,17 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,0,0,0,17,31
Software Engineer,Majoo Indonesia,"Malang,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Software Architecture,18 hari yang lalu,glints,Malang,Jawa Timur,0,0,0,17,26
Software Engineer,Duluin Group,"Bandung,Jawa Barat",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | React.js,12 jam yang lalu,glints,Bandung,Jawa Barat,1,4000000,5000000,17,13
Software Engineer,Selaras Asia Mandiri,"Yogyakarta,DI Yogyakarta",Rp 5 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | SQL,7 hari yang lalu,glints,Yogyakarta,DI Yogyakarta,1,5000000,10000000,17,8
Software Engineer,PT Teknologi Govirtual Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6,8 jt-10 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Node.js,13 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,6800000,10000000,17,12
Software Engineer (Golang Engineer),Pt. Solusi Pembayaran Elektronik,"Tangerang,Banten",Rp 10 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),Hybrid | +9,4 hari yang lalu,glints,Tangerang,Banten,1,10000000,12000000,35,11
Senior Software Engineer,otaQku,"Jakarta Selatan,DKI Jakarta",Rp 8 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Mentoring | +12,8 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,8000000,12000000,24,15
Software Engineer (Fullstack),PT Reka Multi Aptika,"Jakarta Pusat,DKI Jakarta",Rp 6 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+16 | SQL,9 hari yang lalu,glints,Jakarta Pusat,DKI Jakarta,1,6000000,12000000,29,9
Software Engineer Intern,Duluin Group,"Bandung,Jawa Barat","Rp 1,5 jt-2,5 jt",Magang,1–3 tahun,Minimal Sarjana (S1),PostgreSQL | +8,10 jam yang lalu,glints,Bandung,Jawa Barat,1,1500000,2500000,24,15
Senior Software Engineer,Darmawan Aryansyah Grup,"Jakarta Selatan,DKI Jakarta",Rp 13 jt-15 jt,Penuh Waktu,5–10 tahun,Minimal Diploma (D1 - D4),+2 | Go / Golang,Kemarin,glints,Jakarta Selatan,DKI Jakarta,1,13000000,15000000,24,16
Senior Software Engineer,PT Teknologi Struktur Berantai,"Jakarta Selatan,DKI Jakarta",Rp 15 jt-18 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),+2 | Agile Methodologies,2 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,15000000,18000000,24,24
Junior Software Engineer,PT Mitra Mandiri Informatika,"Jakarta Selatan,DKI Jakarta",Rp 6 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | Java,3 hari yang lalu,glints,Jakarta Selatan,DKI Jakarta,1,6000000,7000000,24,9
