job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform
C++ Software Engineer,Surya Narayana Indonesia,"Kab. Buleleng,Bali",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | C++,UrgentKemarin,glints
Software Engineer,PT. Meteor Inovasi Digital,"Kab. Tangerang,Banten",Rp 7 jt-9 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+5 | Remote/Dari rumah,13 jam yang lalu,glints
Software Engineer,PT. MUAT LOGISTIK INDONESIA,"Jakarta Barat,DKI Jakarta",Rp 5 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | Software Development,10 jam yang lalu,glints
Software Engineer,Aldmic COOPN Digital,"Jakarta Barat,DKI Jakarta",Rp 7 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),JavaScript | +12,12 jam yang lalu,glints
Software Engineer,BSG Group,"Tangerang Selatan,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | React.js,3 hari yang lalu,glints
Software Engineer,PT Golden Tekstil Indonesia,"Kab. Kendal,Jawa Tengah","Rp 3,2 jt-3,7 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),SQL | +12,8 hari yang lalu,glints
Software Engineer,PT Inter Sistem Asia,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Laravel,14 hari yang lalu,glints
Software Engineer,PT Prima Vista Solusi,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,Not Specified,Minimal Sarjana (S1),Teamwork | +1 | Problem Solving,17 hari yang lalu,glints
Software Engineer,Majoo Indonesia,"Malang,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Software Architecture,18 hari yang lalu,glints
Software Engineer,Duluin Group,"Bandung,Jawa Barat",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | React.js,12 jam yang lalu,glints
Software Engineer,Selaras Asia Mandiri,"Yogyakarta,DI Yogyakarta",Rp 5 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | SQL,7 hari yang lalu,glints
Software Engineer,PT Teknologi Govirtual Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6,8 jt-10 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Node.js,13 hari yang lalu,glints
Software Engineer (Golang Engineer),Pt. Solusi Pembayaran Elektronik,"Tangerang,Banten",Rp 10 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),Hybrid | +9,4 hari yang lalu,glints
Senior Software Engineer,otaQku,"Jakarta Selatan,DKI Jakarta",Rp 8 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Mentoring | +12,8 hari yang lalu,glints
Software Engineer (Fullstack),PT Reka Multi Aptika,"Jakarta Pusat,DKI Jakarta",Rp 6 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+16 | SQL,9 hari yang lalu,glints
Software Engineer Intern,Duluin Group,"Bandung,Jawa Barat","Rp 1,5 jt-2,5 jt",Magang,1–3 tahun,Minimal Sarjana (S1),PostgreSQL | +8,10 jam yang lalu,glints
Senior Software Engineer,Darmawan Aryansyah Grup,"Jakarta Selatan,DKI Jakarta",Rp 13 jt-15 jt,Penuh Waktu,5–10 tahun,Minimal Diploma (D1 - D4),+2 | Go / Golang,Kemarin,glints
Senior Software Engineer,PT Teknologi Struktur Berantai,"Jakarta Selatan,DKI Jakarta",Rp 15 jt-18 jt,Penuh Waktu,5–10 tahun,Minimal Sarjana (S1),+2 | Agile Methodologies,2 hari yang lalu,glints
Junior Software Engineer,PT Mitra Mandiri Informatika,"Jakarta Selatan,DKI Jakarta",Rp 6 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | Java,3 hari yang lalu,glints
ROS Software Engineer,PT Widya Inovasi Indonesia,"Kab. Sleman,DI Yogyakarta",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Ros Software,6 hari yang lalu,glints
Junior Software Engineer,Hijrahfood Group,"Bekasi,Jawa Barat","Rp 5 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+3 | GIT,14 hari yang lalu,glints
Software Engineer Internship,Algobash,"Jakarta Selatan,DKI Jakarta",Rp 3 jt-6 jt,Magang,Not Specified,Minimal Sarjana (S1),+4 | TypeScript | Remote/Dari rumah,15 hari yang lalu,glints
Senior Software Engineer,iQuartz Pte Ltd,"Jakarta Pusat,DKI Jakarta",Rp 10 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | React.js,20 hari yang lalu,glints
Software Engineer (Bootcamp),PT Formulatrix Indonesia,"Salatiga,Jawa Tengah",Tidak Ditampilkan,Magang,Not Specified,Minimal Diploma (D1 - D4),C# | Python | Java,22 hari yang lalu,glints
