job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,cluster_prediction
C++ Software Engineer,Surya Narayana Indonesia,"Kab. Buleleng,Bali",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | C++,2
Software Engineer,PT. Meteor Inovasi Digital,"Kab. Tangerang,Banten",Rp 7 jt-9 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),+5 | Remote/Dari rumah,0
Software Engineer,PT. MUAT LOGISTIK INDONESIA,"Jakarta Barat,DKI Jakarta",Rp 5 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | Software Development,0
Software Engineer,Aldmic COOPN Digital,"Jakarta Barat,DKI Jakarta",Rp 7 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),JavaScript | +12,0
Software Engineer,BSG Group,"Tangerang Selatan,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | React.js,0
Software Engineer,PT Golden Tekstil Indonesia,"Kab. Kendal,Jawa Tengah","Rp 3,2 jt-3,7 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),SQL | +12,0
Software Engineer,PT Inter Sistem Asia,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+3 | Laravel,0
Software Engineer,PT Prima Vista Solusi,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,Not Specified,Minimal Sarjana (S1),Teamwork | +1 | Problem Solving,0
Software Engineer,Majoo Indonesia,"Malang,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Software Architecture,0
Software Engineer,Duluin Group,"Bandung,Jawa Barat",Rp 4 jt-5 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | React.js,0
Software Engineer,Selaras Asia Mandiri,"Yogyakarta,DI Yogyakarta",Rp 5 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | SQL,0
Software Engineer,PT Teknologi Govirtual Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6,8 jt-10 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Node.js,0
Software Engineer (Golang Engineer),Pt. Solusi Pembayaran Elektronik,"Tangerang,Banten",Rp 10 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),Hybrid | +9,1
Senior Software Engineer,otaQku,"Jakarta Selatan,DKI Jakarta",Rp 8 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Mentoring | +12,0
Software Engineer (Fullstack),PT Reka Multi Aptika,"Jakarta Pusat,DKI Jakarta",Rp 6 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+16 | SQL,0
